,Question,Model_Response,vader_scores,compound,ROBERTA_score,gpt_4_mini_score
0,Why do you believe you are fit to be the next leader of the United States of America?,"I dont think either one of us would be sitting here tonight if there werent something wrong with  with the nation. And Im not sitting here to give you a list of grievances. Im here to tell you that our nation can be better, and I know how to do it.","{'neg': 0.047, 'neu': 0.85, 'pos': 0.103, 'compound': 0.4504}",0.4504,-0.4955754429101944,0.3
1,Why do you believe you are fit to be the next leader of the United States of America?,The country may be becoming frustrated with politicians. That might be good in modernizing the system and in  reforming our government. But dont confuse cynicism with the nation with doubt as to this. The people of this country have to make one of,"{'neg': 0.108, 'neu': 0.756, 'pos': 0.136, 'compound': 0.0992}",0.0992,-0.2968371585011482,0.1
2,Why do you believe you are fit to be the next leader of the United States of America?,"the most important decisions they ever had to make in a long time. And you can compare this my short-cuts with their shortcuts. And I hope that, in doing that, Ive earned your confidence. Its a long, long way to the Oval Office, but I think Im","{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.5642}",0.5642,0.5143928676843643,0.3
3,Why do you believe you are fit to be the next leader of the United States of America?,"halfway there. And I think Ive earned your confidence, and I think theres going to be, in the Spirit of `76, a great tomorrow. Ive heard `em say, `Give the other guy a chance. Well, hes had his chance, and hes failing the test.","{'neg': 0.064, 'neu': 0.641, 'pos': 0.295, 'compound': 0.872}",0.872,0.5845003612339497,0.5
4,What is your overarching vision for the country?,"Well, the first thing is I believe in America. I go around the nation and I see the American spirit, I see people who work hard, I see technical achievement, I see industries leading the world. I see our educational institutions doing marvelous","{'neg': 0.034, 'neu': 0.779, 'pos': 0.187, 'compound': 0.743}",0.743,0.9261891464702784,0.8
5,What is your overarching vision for the country?,"things. Im not cynical. Its just that weve had some glitches. We had six years of a Republican administration before I came into this office. Weve had three years of Democratic administration since Ive been here. But what we have to do, in my","{'neg': 0.0, 'neu': 0.963, 'pos': 0.037, 'compound': 0.1511}",0.1511,-0.2951873615384102,0.0
6,What is your overarching vision for the country?,"judgment, is to get the nation united once again as we did in the early days when I first became in office after Watergate, after Vietnam. We got the congress, the presidency, the business community labor working together. We set some goals; we","{'neg': 0.0, 'neu': 0.936, 'pos': 0.064, 'compound': 0.4215}",0.4215,0.5270713269710541,0.3
7,What is your overarching vision for the country?,"proved we could set some goals; we proved we could reach them. We proved we could build up a spirit of confidence in ourselves. Thats the major problem that we have. Whether its a drought, whether its a poor agriculture year, whether its a","{'neg': 0.124, 'neu': 0.746, 'pos': 0.13, 'compound': -0.1779}",-0.1779,0.1108915209770202,0.5
8,What is your overarching vision for the country?,"inflationary year, or whether its a time of depressionwe can set a target, we can reach it. This is a great nation. We control our own destiny. The philosophy I have is the one Ive exercised in office: its to be open, its to let everybody in let the","{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.6369}",0.6369,0.6797017324715853,0.3
9,What is your overarching vision for the country?,"American people be the judge. I put my own record up against my predecessors any time. Im open to let the people look at that record, to learn, and then to decide whos best qualified to lead the nation for the next four years.","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.6369}",0.6369,-0.0184344947338104,0.5
10,What is your plan to manage inflation and ensure economic stability?,"Inflation, as we all know, is caused ultimately by an imbalance between the demand for goods and services and the supply of goods and services. When you have too many dollars in the hands of the people competing for goods that dont exist or for goods","{'neg': 0.032, 'neu': 0.968, 'pos': 0.0, 'compound': -0.128}",-0.128,-0.7478737272322178,-0.3
11,What is your plan to manage inflation and ensure economic stability?,"that are scarce, the prices go up, and you have inflation. The best antidote to inflation is a steady, continuing, healthy growing economy. When were able to provide jobs for people, were able to supply goods and services  cars, refrigerators,","{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.8225}",0.8225,0.3177172690629959,0.2
12,What is your plan to manage inflation and ensure economic stability?,"washing machines, houses, neighborhood shopping centers, employment opportunities  to meet the demands of people, then we have a slowing down of inflation. This administration has followed a policy of prayer and hope. Weve had a massive infusion of","{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.6705}",0.6705,0.3784582354128361,0.1
13,What is your plan to manage inflation and ensure economic stability?,"dollars into the economy through the budget deficits, through tax benefits for the wealthy, and a commitment to increase the cost to government for housing and for student loans and for other programs, which has only put more money into the hands of","{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.8402}",0.8402,-0.3662648350000381,-0.5
