,Question,Model_Response,vader_scores,compound,ROBERTA_score,gpt_4_mini_score
0,Why do you believe you are fit to be the next leader of the United States of America?,Why do you believe you are fit to be the next leader of the United States of America?,"{'neg': 0.0, 'neu': 0.751, 'pos': 0.249, 'compound': 0.6486}",0.6486,-0.6775634568184614,0.0
1,What is your overarching vision for the country?,I want a beautiful life for this country. [applause],"{'neg': 0.0, 'neu': 0.49, 'pos': 0.51, 'compound': 0.6369}",0.6369,0.9594680729787796,0.8
2,What is your plan to manage inflation and ensure economic stability?,"Im going to fix it. Its broken. Its destroyed. You talk about inflation, touching every aspect of our lives.","{'neg': 0.27, 'neu': 0.73, 'pos': 0.0, 'compound': -0.743}",-0.743,-0.72666279040277,-0.5
3,How will you create jobs and reduce unemployment across the nation?,Im going to create a lot of jobs. Its going to be a great stimulus.,"{'neg': 0.0, 'neu': 0.64, 'pos': 0.36, 'compound': 0.7351}",0.7351,0.968565098941326,1.0
4,What steps will you take to balance the federal budget and manage the national debt?,"I will I've made a commitment for 8 years, Ill have that thing trimmed way down Way, way down.","{'neg': 0.144, 'neu': 0.722, 'pos': 0.134, 'compound': -0.0516}",-0.0516,-0.0596891343593597,0.2
5,How will you ensure that all Americans have access to quality and affordable healthcare?,thats why youre going to hopefully get reelected so that we could. All Americans would be able to access quality and affordable healthcare,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.4019}",0.4019,0.6724271159619093,0.6
6,How will your administration address the pressing challenges of environmental sustainability?,"Well, thank you, factor. I believe that I have green plans, if you look. And I think my  my plans on the environment and my responses are much better than his.","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.7579}",0.7579,0.8715974297374487,0.5
7,What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,"Wait a minute. I think, I think were gonna get those number one in the next few weeks. Number one is gonna be North Korea. Number two is gonna be China. Number three is gonna be Iran. The Russians, were taking care of the Russians. You see, she talks","{'neg': 0.0, 'neu': 0.83, 'pos': 0.17, 'compound': 0.6597}",0.6597,-0.3139482960104942,0.1
8,What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,"about the other side. You see, this is why Im so tough. This is why Im so tough. He said, you shouldnt be so tough with Putin. Im not being tough. Im just beingbenign, okay? Wehave much better relations with Russia and many other countries now that","{'neg': 0.148, 'neu': 0.763, 'pos': 0.089, 'compound': -0.2881}",-0.2881,-0.1104419231414794,0.2
9,What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,she has. I would have dont the Iran deal much different than her. You get rid of the money-15 seconds.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.2884508445858955,-0.5
10,What reforms would you propose to improve the education system?,Im going to ask you both a question about education at this point.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.1066157165914774,0.0
11,How will you restore trust in government and ensure transparency in your administration?,and ensure transparency in your administration?,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.3818}",0.3818,-0.0716150850057601,0.0
12,What policies will you pursue to ensure equality and protect the rights of all Americans?,"Im happy to do that. And, by the way, I believe in equal wages for equal work. [applause]","{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.5719}",0.5719,0.9348646085709332,1.0
13,How will you lead the country through challenges and unite Americans with differing perspectives?,"Im gonna lead the country through the next stage, through the challenges that we face, and continuing to unite the American people.","{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.0772}",0.0772,0.8257225751876831,0.7
14,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","Well, first of all, Jake, we have to look at what's broken about our immigration system. And we can fix it. It's broken by design. It's broken by incompetence. He and his administration, every Republican, every conservative, both sides of the aisle,","{'neg': 0.244, 'neu': 0.716, 'pos': 0.041, 'compound': -0.8885}",-0.8885,-0.7550144977867603,-0.5
15,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","want a system that works. So we get virtue out of the bounty of America where immigrants join our cause, join ourcountry, become American citizens, assimilate, take our values. That's a virtuous system. An earned pathway to citizenship through work","{'neg': 0.0, 'neu': 0.683, 'pos': 0.317, 'compound': 0.9163}",0.9163,0.4737922064960003,0.7
